2026-04-17 11:48:20.383 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Euphoria US S03E01 Andale REPACK 720p AMZN WEB DL DDP5 1 Atmos H 264 FLUX'
2026-04-17 11:48:20.383 | INFO     | database:add_download:100 - Queued [TV] 'Star Wars Maul Shadow Lord S01E03 720p WEB H264 JFF' via rss
2026-04-17 11:48:20.383 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Star Wars Maul Shadow Lord S01E03 720p WEB H264 JFF'
2026-04-17 11:48:20.385 | INFO     | database:add_download:100 - Queued [TV] 'Star Wars Maul Shadow Lord S01E04 720p WEB H264 JFF' via rss
2026-04-17 11:48:20.385 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Star Wars Maul Shadow Lord S01E04 720p WEB H264 JFF'
2026-04-17 11:48:20.385 | INFO     | database:add_download:100 - Queued [TV] 'Star Wars Maul Shadow Lord S01E04 1080p WEB h264 ETHEL' via rss
2026-04-17 11:48:20.386 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Star Wars Maul Shadow Lord S01E04 1080p WEB h264 ETHEL'
2026-04-17 11:48:20.386 | INFO     | database:add_download:100 - Queued [TV] 'Star Wars Maul Shadow Lord S01E03 1080p WEB h264 ETHEL' via rss
2026-04-17 11:48:20.386 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Star Wars Maul Shadow Lord S01E03 1080p WEB h264 ETHEL'
2026-04-17 11:48:20.387 | INFO     | database:add_download:100 - Queued [TV] 'Rooster S01E06 Cop Hawk 720p AMZN WEB DL DDP5 1 Atmos H 264 RAWR' via rss
2026-04-17 11:48:20.388 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Rooster S01E06 Cop Hawk 720p AMZN WEB DL DDP5 1 Atmos H 264 RAWR'
2026-04-17 11:48:20.389 | INFO     | database:add_download:100 - Queued [TV] 'Rooster S01E06 1080p WEB h264 ETHEL' via rss
2026-04-17 11:48:20.389 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Rooster S01E06 1080p WEB h264 ETHEL'
2026-04-17 11:48:20.391 | INFO     | database:add_download:100 - Queued [TV] 'Euphoria US S03E01 Andale 720p AMZN WEB DL DDP5 1 H 264 FLUX' via rss
2026-04-17 11:48:20.391 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Euphoria US S03E01 Andale 720p AMZN WEB DL DDP5 1 H 264 FLUX'
2026-04-17 11:48:20.392 | INFO     | database:add_download:100 - Queued [TV] 'Euphoria US S03E01 Andale 1080p AMZN WEB DL DDP5 1 H 264 FLUX' via rss
2026-04-17 11:48:20.392 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Euphoria US S03E01 Andale 1080p AMZN WEB DL DDP5 1 H 264 FLUX'
2026-04-17 11:48:20.393 | INFO     | database:add_download:100 - Queued [TV] 'Star Wars Maul Shadow Lord S01E02 Chapter 2 Sinister Schemes 720p DSNP WEB DL DD 5 1 Atmos H 264 playWEB' via rss
2026-04-17 11:48:20.393 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Star Wars Maul Shadow Lord S01E02 Chapter 2 Sinister Schemes 720p DSNP WEB DL DD 5 1 Atmos H 264 playWEB'
2026-04-17 11:48:20.395 | INFO     | database:add_download:100 - Queued [TV] 'Star Wars Maul Shadow Lord S01E01 Chapter 1 The Dark Revenge 720p DSNP WEB DL DD 5 1 Atmos H 264 playWEB' via rss
2026-04-17 11:48:20.395 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Star Wars Maul Shadow Lord S01E01 Chapter 1 The Dark Revenge 720p DSNP WEB DL DD 5 1 Atmos H 264 playWEB'
2026-04-17 11:48:20.396 | INFO     | database:add_download:100 - Queued [TV] 'Star Wars Maul Shadow Lord S01E01 1080p WEB h264 ETHEL' via rss
2026-04-17 11:48:20.396 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Star Wars Maul Shadow Lord S01E01 1080p WEB h264 ETHEL'
2026-04-17 11:48:20.397 | INFO     | database:add_download:100 - Queued [TV] 'Star Wars Maul Shadow Lord S01E02 1080p WEB h264 ETHEL' via rss
2026-04-17 11:48:20.397 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Star Wars Maul Shadow Lord S01E02 1080p WEB h264 ETHEL'
2026-04-17 11:48:20.398 | INFO     | database:add_download:100 - Queued [TV] 'Monarch Legacy of Monsters S02E07 1080p WEB h264 ETHEL' via rss
2026-04-17 11:48:20.398 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'Monarch Legacy of Monsters S02E07 1080p WEB h264 ETHEL'
2026-04-17 11:48:20.399 | INFO     | database:add_download:100 - Queued [TV] 'hacks s05e01 720p web h264 sylix' via rss
2026-04-17 11:48:20.399 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'hacks s05e01 720p web h264 sylix'
2026-04-17 11:48:20.401 | INFO     | database:add_download:100 - Queued [TV] 'monarch legacy of monsters s02e07 720p web h264 sylix' via rss
2026-04-17 11:48:20.401 | INFO     | rss_worker:_process_feed:167 - RSS queued [TV]: 'monarch legacy of monsters s02e07 720p web h264 sylix'
